Name,Prices for next 12 months,Distance (in kms)
Lux design 2BD near Theater District Chicago by C9,"403,395,326,326,326,326,326,367,355,326,326,504,504,504,504,504,504,504,504,220,220,309,306,220,220,220,220,220,282,290,220,220,220,220,220,314,314,220,220,220,220,220,311,330,220,220,220,220,220,308,301,220,220,220,220,220,323,326,220,220,220,220,231,481,481,367,220,220,220,238,361,360,227,220,220,300,300,499,480,300,300,300,300,300,599,638,355,300,300,300,520,780,780,342,306,311,322,359,536,536,359,322,324,331,385,642,653,395,324,334,336,422,703,724,377,330,332,340,412,615,565,380,333,331,343,387,564,564,383,352,383,392,393,633,604,416,418,418,428,586,898,921,565,432,439,494,500,746,746,510,448,454,465,628,922,890,528,468,470,485,541,922,922,911,483,491,501,971,1237,1237,1119,712,675,684,832,1237,1237,832,685,679,695,775,1221,1146,775,681,684,700,781,1237,1237,782,686,689,705,846,1237,1237,1237,1237,771,709,791,1170,1193,791,693,698,713,828,1237,1237,846,698,730,718,801,1237,1183,801,702,706,722,805,1237,1237,805,706,529,599,865,922,922,670,529,532,543,606,922,922,661,542,556,567,608,898,897,606,532,556,541,603,891,890,601,522,525,536,626,922,922,922,518,520,532,587,868,867,586,514,512,522,597,922,922,689,555,532,518,573,846,837,565,492,494,500,557,815,814,545,502,513,562,1383,1383,1383,1383,1383,511,546,576,810,762,515,447,449,454,506,740,739,495,433,431,440,486,718,709,479,420,417,380,423,625,624,444,385,406,415,462,650,611,413,362,364,371,409,604,604,408,357,360,513,573,753,753,408,357,1038,1038,1038,1038,624,426,357,435,528,501,743,743,502,440,360,367,409,612",0.15
"Trendy Loop Studio w/ Gym, W/D & Pool, near Willis Tower, by Blueground","73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73",0.17
Million Dollar Views! Luxury Downtown Skyhouse!,"1987,450,450,450,450,450,450,481,509,488,519,507,617,604,671,743,468,487,483,452,450,496,492,450,450,450,450,450,550,552,450,450,450,450,450,485,489,450,450,450,450,450,450,450,450,450,450,450,450,502,492,450,450,450,450,450,450,450,450,450,450,450,450,714,714,715,450,450,450,497,601,592,478,450,451,450,489,530,559,456,450,465,480,650,940,981,589,539,547,552,849,949,1028,559,567,584,594,619,804,814,586,594,606,649,708,890,934,641,709,722,623,646,688,695,618,613,623,629,658,811,809,622,618,620,631,646,784,791,627,628,641,643,696,790,809,654,655,662,667,819,948,971,678,677,687,698,711,783,802,712,701,719,723,815,965,979,734,730,743,764,858,1269,1270,1272,754,773,783,1052,1890,1987,1150,795,789,794,864,1161,1207,703,666,818,809,825,912,901,804,794,807,812,827,936,949,805,802,812,817,867,1728,1729,1731,1732,902,875,840,920,925,820,809,821,828,992,1123,1141,905,816,844,850,898,982,996,831,831,847,840,854,1017,1056,837,828,841,885,1100,1398,1457,928,830,842,853,894,1050,1089,844,836,845,851,869,1038,1043,866,837,845,849,896,937,940,837,819,831,838,947,1723,1723,1723,813,824,830,839,974,998,816,805,809,816,970,1087,1088,858,792,802,809,814,912,884,789,770,781,780,793,861,867,759,749,806,607,1198,1727,1778,1569,1174,885,848,786,808,804,717,702,710,708,720,777,782,688,679,686,687,701,807,793,707,658,683,658,669,726,733,653,637,678,651,682,741,719,641,689,639,663,650,703,709,651,624,632,887,887,887,887,632,625,653,638,658,703,714,632,624,632,637,648,703,710,632,623,632,673,647,751",0.3
Stunning Corner 2BR in the Loop | City & Lake Views,"404,429,177,177,177,156,156,232,266,266,202,225,225,177,494,522,224,238,223,198,210,269,283,167,156,156,156,156,265,356,283,156,156,156,206,292,364,288,186,177,179,256,317,395,322,221,198,203,269,329,403,327,233,214,240,294,378,422,352,257,240,270,340,769,793,675,294,245,270,302,448,458,320,279,270,292,332,483,486,341,290,288,302,335,492,494,352,288,303,323,403,574,576,441,352,389,411,423,546,554,440,309,351,371,359,452,506,347,316,358,374,383,506,515,370,355,359,367,382,510,504,373,345,346,337,371,496,473,341,283,290,284,342,491,499,361,298,323,303,353,553,551,333,266,342,541,538,592,584,386,305,356,357,414,620,620,397,390,399,411,451,638,653,565,541,411,416,510,731,737,540,583,409,530,640,791,787,572,607,604,442,500,612,674,537,525,603,481,529,608,653,463,419,530,449,528,698,766,678,500,540,464,490,614,635,384,364,398,408,447,614,635,402,411,427,447,482,614,635,413,424,423,451,455,614,635,414,412,432,551,717,777,767,707,415,405,435,401,479,539,474,375,379,409,377,465,464,412,392,382,403,373,455,466,385,380,352,416,430,510,568,436,445,340,352,362,442,499,398,382,408,436,485,643,705,552,400,384,410,462,542,608,438,346,341,392,456,574,608,433,354,341,399,711,1123,1271,1045,583,364,473,474,607,653,477,430,408,437,505,652,696,505,431,416,402,463,598,624,404,362,356,270,359,598,670,346,242,250,302,428,733,702,575,375,354,255,372,541,543,342,467,456,636,772,757,778,572,491,493,311,380,510,647,398,356,428,311,351,437,482,295,215,263,297,327,360",0.37
Stylish Corner 2BR in the Loop | City & Lake Views,"390,354,198,198,198,198,198,437,266,286,218,198,208,225,500,359,260,231,210,186,196,277,293,156,156,156,156,226,305,356,283,177,177,177,206,292,364,288,186,177,179,256,317,395,322,221,198,203,269,329,403,327,233,214,240,294,378,422,352,257,240,270,340,769,793,675,294,245,270,302,448,458,320,279,270,292,332,483,486,341,290,288,302,335,492,494,352,288,303,323,403,574,576,441,352,389,411,423,546,554,440,309,351,371,359,452,453,347,316,358,374,383,490,500,370,355,329,336,382,523,510,345,332,346,337,371,473,462,341,283,290,284,342,531,496,361,298,323,328,372,529,499,370,295,342,541,574,554,537,386,305,356,357,414,612,603,397,390,399,411,451,638,653,550,541,386,395,555,801,788,574,602,437,589,640,737,731,601,623,604,442,500,613,621,537,525,603,481,529,580,597,463,419,530,449,528,698,766,636,500,540,464,490,481,449,384,364,398,408,447,439,451,402,411,427,447,482,472,536,413,424,423,451,455,492,568,432,434,432,551,717,777,767,707,415,405,435,401,479,539,474,375,379,409,377,465,464,412,392,382,403,373,455,466,385,380,352,416,430,510,568,436,445,340,352,362,442,499,398,382,408,436,485,643,705,552,400,384,410,462,542,608,438,346,341,392,456,574,608,433,354,341,399,711,1123,1271,1045,583,364,473,474,607,653,477,430,408,437,505,652,696,505,431,416,402,463,598,624,404,362,356,270,359,598,670,346,242,250,302,428,733,702,575,375,354,255,372,541,543,342,467,456,636,772,757,778,572,491,493,311,380,510,647,398,356,428,311,351,437,482,295,215,263,297,327,360",0.37
Sonder Jewelers Row | Two-Bedroom Apartment,"397,220,247,126,136,154,128,271,231,203,230,227,222,199,399,479,240,150,115,80,123,239,228,144,128,99,108,125,192,237,163,115,104,137,202,208,105,79,105,107,112,138,225,211,98,99,99,165,188,170,268,328,195,197,172,111,139,200,153,181,182,148,171,185,198,144,160,161,161,144,226,240,174,131,132,159,179,226,306,226,166,138,139,216,292,317,231,220,221,222,476,532,572,512,187,187,187,222,282,301,217,194,194,194,222,282,567,433,341,437,327,302,600,650,527,360,360,360,418,733,794,409,304,304,304,466,486,532,373,334,256,256,294,379,855,581,511,511,511,596,379,408,287,256,352,352,403,524,771,529,415,315,315,267,500,541,374,473,341,341,706,659,703,464,380,380,264,797,1074,1349,506,321,293,293,478,934,704,442,383,264,264,228,309,437,290,381,381,381,405,547,459,379,330,330,330,371,604,1457,962,378,359,287,262,257,385,350,303,336,244,290,391,426,282,244,161,161,290,391,426,282,244,244,372,442,596,650,304,257,257,642,761,1027,1120,761,161,161,161,190,257,280,190,161,244,244,419,821,895,419,354,232,232,276,372,406,190,161,161,161,190,257,406,276,232,161,161,190,257,280,399,337,337,337,399,257,280,190,161,161,161,190,257,280,190,161,161,161,190,257,280,190,161,209,627,742,1525,1663,1638,627,161,161,290,391,426,190,161,161,161,190,257,280,190,161,161,161,190,257,280,190,161,161,161,190,372,406,190,161,161,161,190,257,280,276,232,232,232,276,372,280,190,161,161,161,190,257,280,190,161,161,161,190,257,280,190,161,161,161,190,257,280,190,161,161,161,190,257",0.39
Sonder Jewelers Row | Superior Two-Bedroom Apartment,"474,230,199,132,139,186,147,298,247,178,209,251,297,388,443,780,277,164,120,83,131,282,244,153,136,107,107,128,228,254,176,125,111,109,152,227,112,83,120,123,118,114,157,152,105,106,107,176,203,186,249,321,174,174,160,118,151,213,167,194,195,161,187,191,207,150,170,171,171,152,243,263,189,136,137,170,193,247,334,243,179,147,149,234,319,343,249,239,240,241,512,576,623,555,201,201,201,239,303,325,234,209,209,209,239,304,617,469,372,372,281,325,570,618,323,211,211,211,249,465,507,243,279,279,279,399,527,577,404,360,277,277,317,411,720,487,430,430,430,501,411,444,311,277,380,380,436,571,845,574,453,343,343,288,544,590,405,516,370,370,767,721,772,508,419,419,291,873,1090,1369,514,351,322,322,524,1027,773,482,422,291,291,249,338,480,317,419,419,419,444,601,503,417,361,361,361,406,665,1601,1051,416,394,315,286,282,423,384,334,369,268,317,429,468,309,268,176,176,317,429,468,309,268,268,409,483,654,714,333,282,282,706,833,1129,1230,833,176,176,176,208,282,307,208,176,268,268,460,902,984,460,389,256,256,302,409,446,208,176,176,176,208,282,446,302,256,176,176,208,282,307,439,371,371,371,439,282,307,208,176,176,176,208,282,307,208,176,176,176,208,282,307,208,176,229,688,812,1675,1826,1793,688,176,176,317,429,468,208,176,176,176,208,282,307,208,176,176,176,208,282,307,208,176,176,176,208,409,446,208,176,176,176,208,282,307,302,256,256,256,302,409,307,208,176,176,176,208,282,307,208,176,176,176,208,282,307,208,176,176,176,208,282,307,208,176,176,176,208,282",0.39
Sonder Jewelers Row | Studio Apartment,"200,187,139,135,134,127,142,159,185,153,173,212,164,151,235,433,163,197,110,118,100,146,191,166,193,116,119,115,204,259,187,111,112,116,133,149,149,120,118,128,127,146,114,125,92,113,115,135,146,184,179,122,142,144,147,123,182,192,115,118,122,120,137,169,188,135,126,126,116,130,162,170,127,116,108,165,188,240,235,169,174,144,145,180,217,195,149,163,163,163,340,344,335,291,133,138,138,159,159,200,184,160,160,160,145,181,221,275,216,216,216,249,328,354,244,216,216,293,269,355,313,217,292,216,216,248,324,280,194,172,172,260,303,399,313,217,138,248,248,290,278,300,217,192,260,260,215,275,298,206,183,132,168,194,264,285,280,247,247,228,255,427,545,359,221,299,180,319,879,826,478,300,260,369,337,247,383,251,219,208,190,227,322,351,230,200,200,199,166,305,333,275,238,175,175,210,440,561,335,292,292,164,194,291,317,296,182,182,182,215,291,257,253,219,219,219,123,166,257,169,147,147,236,279,265,411,279,236,236,414,490,664,723,490,104,154,154,183,236,383,369,219,219,147,174,216,235,160,201,201,201,238,247,269,123,104,104,104,123,236,257,174,147,104,147,174,236,257,123,134,190,190,226,306,235,160,174,174,174,207,216,235,160,134,104,104,123,166,181,123,104,104,441,678,1305,1419,964,573,134,190,226,216,235,123,104,104,104,123,166,181,123,147,147,147,174,236,257,123,104,147,147,174,166,181,123,104,104,104,123,166,181,174,147,147,147,174,236,181,123,104,104,104,123,216,235,160,134,134,134,160,216,181,123,104,104,104,123,166,181,123,104,104,104,123,166",0.39
Sonder The Plymouth | Three-Bedroom Apartment,"426,424,180,173,266,157,197,397,434,309,250,348,284,317,471,575,247,144,127,139,248,284,184,169,97,108,147,212,333,247,201,95,114,112,172,243,258,164,119,125,117,167,226,291,213,200,173,171,259,170,178,109,100,136,142,238,278,235,125,126,126,294,369,508,254,188,136,138,154,185,216,319,234,221,222,279,393,403,459,344,307,266,205,328,468,505,302,411,256,256,423,548,595,411,219,219,219,248,304,268,206,244,244,240,314,436,576,331,350,440,464,395,610,519,428,379,236,434,505,519,477,437,458,458,458,529,535,335,376,336,336,336,393,422,590,404,356,356,356,352,473,391,258,281,271,380,440,804,671,632,281,281,397,338,590,639,437,236,236,236,324,562,817,538,340,358,247,488,954,1200,690,412,340,340,584,573,626,386,340,247,247,403,733,801,528,324,174,253,434,585,626,271,324,324,311,362,709,775,924,411,411,452,278,543,776,354,211,211,281,317,427,466,307,306,306,236,279,376,514,339,295,207,467,576,777,847,576,374,374,1061,1256,1696,1850,1256,236,236,236,279,376,596,279,236,341,341,405,545,864,586,476,631,403,362,344,535,362,306,341,236,279,545,411,279,166,166,166,197,376,411,279,236,236,166,197,376,411,279,236,236,236,197,376,411,279,236,166,166,197,265,290,405,341,341,498,837,2373,2592,1759,1004,335,335,279,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376,411,279,166,166,166,197,376",0.46
Sonder The Plymouth | Four-Bedroom Apartment,"505,363,265,163,194,145,225,366,493,376,491,383,439,359,596,604,268,247,161,204,142,225,194,144,114,89,93,124,304,333,183,92,96,97,146,230,249,193,217,157,157,262,262,281,221,231,232,145,321,292,312,172,156,156,141,169,199,300,225,202,197,152,260,491,486,302,167,168,169,198,225,242,231,211,211,262,417,812,464,342,189,154,161,312,434,468,278,195,261,422,826,1069,556,392,292,371,371,315,362,388,414,239,239,239,343,369,537,377,419,419,495,769,971,1107,445,394,394,520,605,676,546,377,406,415,415,610,444,478,337,300,237,319,562,1088,1180,1077,706,543,791,692,1232,598,346,306,306,334,538,710,950,459,295,295,295,471,874,1287,612,538,386,319,272,912,1290,1341,390,390,186,386,1099,1379,789,278,333,349,571,1185,1290,770,232,232,319,379,701,763,403,254,254,534,634,659,719,295,256,256,254,302,1242,1355,1114,461,461,507,303,561,884,584,507,507,349,603,592,804,530,317,317,461,547,741,555,268,186,186,837,994,1346,1465,994,837,837,837,994,1346,2124,1441,269,269,186,464,910,993,320,186,186,411,487,659,719,336,269,269,269,320,433,472,336,283,283,283,221,455,496,336,269,269,391,464,433,472,464,269,269,269,464,433,472,320,186,391,391,464,628,472,221,186,186,186,221,299,325,336,283,283,558,961,1886,2053,1393,809,186,186,221,299,325,221,186,186,186,221,299,325,221,186,186,186,221,299,472,320,269,269,186,221,299,325,221,186,186,186,221,299,325,221,186,186,186,221,299,325,221,186,186,269,320,433,472,221,186,186,186,221,299,325,221,186,186,186,221,299,325,221,186,186,186,221,299",0.46
